标签名,标签值,一级分类,二级分类,三级分类,四级分类
杰作,masterpiece,常规标签,画质,,
写实,realistic,常规标签,画质,,
提高质量,"HDR,UHD,8K",常规标签,画质,,
最佳质量,best quality,常规标签,画质,,
高分辨率,highres,常规标签,画质,,
超高分辨率,absurdres,常规标签,画质,,
超高清,ultra-highres,常规标签,画质,,
更多细节,Highly detailed,常规标签,画质,,
简单背景,simple background,常规标签,画质,,
模糊背景,blurry background,常规标签,画质,,
清晰背景,clear background,常规标签,画质,,
清晰细节,clear details,常规标签,画质,,
超精细绘画,ultra-fine painting,常规标签,画质,,
聚焦清晰,sharp focus,常规标签,画质,,
物理渲染,physically-based rendering,常规标签,画质,,
极详细刻画,extreme detail description,常规标签,画质,,
改善细节,Professional,常规标签,画质,,
添加鲜艳色彩,Vivid Colors,常规标签,画质,,
扫描,High resolution scan,常规标签,画质,,
基础负面,"low resolution,worst quality, low quality, normal quality, lowres,jpeg, cropped, bad composition, artifacts bad proportions, error, inaccurate limb, bad anatomy, bad, ugly, terrible, extra fingers, fewer fingers, missing fingers, extra arms, extra legs, inaccurate eyes,extra digit, fewer digits, trademark, artist's name, username, watermarksignature, watermark,text, words",常规标签,负面标签,,
低分辨率,lowres,常规标签,负面标签,,
NSFW,nsfw,常规标签,负面标签,,
变异手指,mutated hands and fingers,常规标签,负面标签,,
畸形的,deformed,常规标签,负面标签,,
解剖不良,bad anatomy,常规标签,负面标签,,
毁容,disfigured,常规标签,负面标签,,
脸不好,poorly drawn face,常规标签,负面标签,,
变异的,mutated,常规标签,负面标签,,
多余肢体,extra limb,常规标签,负面标签,,
丑陋,ugly,常规标签,负面标签,,
手画得差,poorly drawn hands,常规标签,负面标签,,
缺少的肢体,missing limb,常规标签,负面标签,,
漂浮的四肢,floating limbs,常规标签,负面标签,,
肢体不连贯,disconnected limbs,常规标签,负面标签,,
畸形的手,malformed hands,常规标签,负面标签,,
脱离焦点,out of focus,常规标签,负面标签,,
长颈,long neck,常规标签,负面标签,,
身体长,long body,常规标签,负面标签,,
